iter	Logloss
0	0.6262730005
1	0.5628081492
2	0.5058258899
3	0.4568338512
4	0.4119353816
5	0.3711966576
6	0.3349587723
7	0.3022381008
8	0.2704510994
9	0.245321205
10	0.2213261011
11	0.200080234
12	0.1794503554
13	0.1617121699
14	0.1464429717
15	0.1329608249
16	0.1205873966
17	0.1107077712
18	0.1003168091
19	0.0915041935
20	0.08422755633
21	0.0773701843
22	0.07095914046
23	0.06549837482
24	0.06023325848
25	0.05569433697
26	0.05102463176
27	0.04711862235
28	0.04377991026
29	0.04058736177
30	0.03755255485
31	0.03460330507
32	0.03185392597
33	0.0298637788
34	0.02790001268
35	0.02575553321
36	0.02399137129
37	0.02253628217
38	0.02106918892
39	0.01987710656
40	0.01884062143
41	0.01779270948
42	0.01680306094
43	0.01594942216
44	0.0150394178
45	0.01435888841
46	0.01364525254
47	0.01292509829
48	0.01234532503
49	0.01176175969
50	0.01107911836
51	0.01053115109
52	0.01006849966
53	0.009586776426
54	0.009134508714
55	0.008727666394
56	0.008388042958
57	0.008028799796
58	0.007717292864
59	0.007290825012
60	0.007008003199
61	0.006713991277
62	0.006405208471
63	0.006123592322
64	0.005880761184
65	0.005673072873
66	0.005435853816
67	0.00520498216
68	0.005028397748
69	0.004842802367
70	0.004669273284
71	0.004504273247
72	0.004364260799
73	0.004197221794
74	0.004072836784
75	0.003911085927
76	0.003815999906
77	0.003698785164
78	0.003611428475
79	0.003505764407
80	0.003427922367
81	0.003318109409
82	0.003242370913
83	0.003158481888
84	0.003060405281
85	0.002938551078
86	0.002864426497
87	0.002783593386
88	0.002717187682
89	0.002652310621
90	0.002589686982
91	0.002518616336
92	0.002440803907
93	0.002382714284
94	0.002318558947
95	0.002271990678
96	0.00221652314
97	0.002175952128
98	0.002131544298
99	0.002077705819
100	0.002037144038
101	0.001993085204
102	0.00195568745
103	0.00192004184
104	0.00187404354
105	0.001843940646
106	0.00179246483
107	0.001749251019
108	0.00171990971
109	0.001688775559
110	0.001663569803
111	0.001632589762
112	0.001604869669
113	0.001573742824
114	0.001548447119
115	0.001519558575
116	0.001495199249
117	0.001474123114
118	0.001443639978
119	0.001417891643
120	0.001393452487
121	0.0013680551
122	0.001346892357
123	0.00131000811
124	0.001283967069
125	0.00126546813
126	0.001243646746
127	0.00122727754
128	0.001206401914
129	0.001190704981
130	0.001176974403
131	0.001160879155
132	0.001146317207
133	0.001128210364
134	0.001107836927
135	0.001087623468
136	0.001071728495
137	0.001052100169
138	0.001036279585
139	0.001023680309
140	0.001009539736
141	0.0009974610345
142	0.0009868028156
143	0.000965519528
144	0.0009541543384
145	0.0009403501516
146	0.0009269635469
147	0.0009157177709
148	0.0009053452351
149	0.0008933099156
150	0.0008832081104
151	0.0008724591003
152	0.0008591969829
153	0.0008498993484
