iter	Passed	Remaining
431	5820	7652
432	5829	7633
433	5842	7619
434	5848	7596
435	5853	7571
436	5860	7550
437	5865	7525
438	5869	7500
439	5881	7485
440	5886	7461
441	5889	7435
442	5893	7410
443	5898	7386
444	5902	7361
445	5905	7336
446	5911	7312
447	5914	7287
448	5918	7262
449	5923	7239
450	5928	7216
451	5931	7191
452	5935	7166
453	5939	7142
454	5944	7119
455	5947	7095
456	5951	7071
457	5955	7047
458	5960	7025
459	5964	7001
460	5970	6980
461	5974	6957
462	5985	6941
463	5996	6927
464	6010	6915
465	6018	6896
466	6028	6880
467	6035	6860
468	6043	6842
469	6049	6822
470	6058	6805
471	6064	6784
472	6075	6769
473	6079	6746
474	6090	6731
475	6103	6719
476	6114	6704
477	6126	6690
478	6132	6670
479	6144	6656
480	6156	6643
481	6168	6629
482	6181	6616
483	6193	6602
484	6205	6588
485	6217	6575
486	6227	6559
487	6238	6545
488	6247	6528
489	6259	6514
490	6269	6499
491	6279	6484
492	6288	6466
493	6293	6446
494	6307	6435
495	6321	6423
496	6334	6410
497	6344	6395
498	6357	6382
499	6369	6369
500	6378	6353
501	6384	6334
502	6390	6314
503	6397	6295
504	6407	6280
505	6411	6259
506	6415	6238
507	6420	6218
508	6424	6197
509	6433	6181
510	6436	6159
511	6445	6143
512	6449	6122
513	6455	6103
514	6465	6088
515	6470	6069
516	6480	6054
517	6490	6039
518	6502	6026
519	6514	6013
520	6525	5999
521	6534	5984
522	6543	5967
523	6547	5948
524	6553	5929
525	6560	5911
526	6563	5890
527	6574	5877
528	6585	5863
529	6595	5848
530	6606	5835
531	6616	5820
532	6627	5807
533	6639	5794
534	6646	5776
535	6656	5762
536	6665	5746
537	6678	5734
538	6688	5720
539	6696	5704
540	6710	5693
541	6723	5681
542	6738	5671
543	6749	5657
544	6762	5646
545	6775	5633
546	6787	5621
547	6801	5610
548	6813	5597
549	6830	5588
550	6844	5577
551	6849	5559
552	6862	5547
553	6883	5541
554	6896	5529
555	6908	5516
556	6937	5517
557	6949	5504
558	6962	5492
559	6968	5475
560	6976	5459
561	6981	5440
562	6985	5421
563	6990	5404
564	6998	5388
565	7007	5372
566	7026	5365
567	7033	5349
568	7041	5333
569	7044	5314
570	7048	5295
571	7053	5277
572	7058	5260
573	7063	5241
574	7068	5224
575	7073	5206
576	7079	5189
577	7084	5172
578	7091	5156
579	7098	5140
580	7107	5125
581	7112	5108
582	7121	5093
583	7128	5077
584	7136	5062
585	7152	5052
586	7163	5039
587	7170	5023
588	7174	5006
589	7183	4991
590	7187	4974
591	7192	4956
592	7200	4941
593	7210	4928
594	7218	4913
595	7223	4896
596	7229	4880
597	7238	4866
598	7243	4849
599	7248	4832
600	7252	4814
601	7256	4797
602	7259	4779
603	7266	4764
604	7270	4747
605	7275	4730
606	7280	4713
607	7285	4697
608	7290	4680
609	7305	4670
610	7313	4656
611	7317	4639
612	7322	4622
613	7326	4606
614	7332	4590
615	7337	4574
616	7345	4559
617	7361	4550
618	7375	4539
619	7387	4528
620	7402	4517
621	7409	4502
622	7425	4493
623	7431	4477
624	7436	4461
625	7443	4447
626	7446	4430
627	7470	4425
628	7477	4410
629	7483	4395
630	7496	4383
631	7509	4372
632	7532	4366
633	7544	4355
634	7557	4344
635	7564	4329
636	7588	4324
637	7596	4310
638	7606	4297
639	7611	4281
640	7620	4267
641	7632	4256
642	7639	4241
643	7643	4225
644	7651	4211
645	7663	4199
646	7668	4184
647	7675	4169
648	7679	4153
649	7696	4144
650	7705	4131
651	7710	4115
652	7715	4099
653	7720	4084
654	7724	4068
655	7728	4052
656	7735	4038
657	7749	4027
658	7790	4030
659	7796	4016
660	7801	4001
661	7807	3986
662	7811	3970
663	7814	3954
664	7820	3939
665	7827	3925
666	7835	3911
667	7852	3902
668	7863	3890
669	7868	3875
670	7874	3861
671	7882	3847
672	7887	3832
673	7892	3817
674	7899	3803
675	7903	3787
676	7908	3773
677	7920	3761
678	7929	3748
679	7937	3735
680	7949	3723
681	7955	3709
682	7959	3694
683	7963	3679
684	7970	3665
685	7975	3650
686	7979	3635
687	7983	3620
688	7988	3605
689	7991	3590
690	7995	3575
691	8001	3561
692	8006	3547
693	8010	3532
694	8015	3517
695	8022	3503
696	8028	3490
697	8040	3478
698	8046	3464
699	8058	3453
700	8067	3441
701	8088	3433
702	8102	3422
703	8115	3412
704	8126	3400
705	8137	3388
706	8150	3377
707	8170	3369
708	8182	3358
709	8190	3345
710	8198	3332
711	8204	3318
712	8209	3304
713	8217	3291
714	8222	3277
715	8226	3262
716	8231	3248
717	8236	3234
718	8250	3224
719	8265	3214
720	8271	3200
721	8281	3188
722	8285	3174
723	8289	3160
724	8295	3146
725	8299	3132
726	8303	3118
727	8308	3104
728	8320	3092
729	8329	3080
730	8334	3067
731	8340	3053
732	8345	3039
733	8360	3029
734	8377	3020
735	8388	3008
736	8399	2997
737	8409	2985
738	8412	2971
739	8420	2958
740	8424	2944
741	8431	2931
742	8450	2923
743	8455	2909
744	8460	2895
745	8467	2882
746	8472	2869
747	8476	2855
748	8483	2843
749	8490	2830
750	8493	2816
751	8502	2803
752	8506	2790
753	8509	2776
754	8513	2762
755	8517	2749
756	8520	2735
757	8524	2721
758	8532	2709
759	8551	2700
760	8555	2686
761	8559	2673
762	8565	2660
763	8569	2647
764	8575	2634
765	8581	2621
766	8585	2608
767	8590	2595
768	8596	2582
769	8601	2569
770	8606	2556
771	8613	2543
772	8618	2530
773	8621	2517
774	8629	2505
775	8634	2492
776	8638	2479
777	8643	2466
778	8647	2453
779	8652	2440
780	8655	2427
781	8661	2414
782	8664	2401
783	8669	2388
784	8674	2375
785	8679	2363
786	8684	2350
787	8690	2338
788	8696	2325
789	8700	2312
790	8709	2301
791	8719	2290
792	8729	2278
793	8748	2269
794	8751	2256
795	8758	2244
796	8761	2231
797	8765	2218
798	8773	2207
799	8784	2196
800	8791	2184
801	8794	2171
802	8798	2158
803	8802	2145
804	8806	2133
805	8810	2120
806	8816	2108
807	8824	2096
808	8827	2084
809	8831	2071
810	8836	2059
811	8847	2048
812	8855	2036
813	8858	2024
814	8864	2012
815	8869	1999
816	8874	1987
817	8878	1975
818	8884	1963
819	8889	1951
820	8893	1938
821	8901	1927
822	8906	1915
823	8911	1903
824	8930	1894
825	8935	1882
826	8944	1871
827	8956	1860
828	8963	1848
829	8970	1837
830	8975	1825
831	8982	1813
832	8986	1801
833	8991	1789
834	8998	1778
835	9003	1766
836	9008	1754
837	9015	1742
838	9021	1731
839	9026	1719
840	9036	1708
841	9043	1697
842	9049	1685
843	9054	1673
844	9062	1662
845	9066	1650
846	9070	1638
847	9076	1626
848	9086	1616
849	9106	1607
850	9119	1596
851	9131	1586
852	9144	1575
853	9162	1566
854	9175	1556
855	9181	1544
856	9191	1533
857	9201	1522
858	9213	1512
859	9224	1501
860	9233	1490
861	9239	1479
862	9249	1468
863	9262	1457
864	9274	1447
865	9282	1436
866	9295	1425
867	9302	1414
868	9314	1404
869	9323	1393
870	9345	1384
871	9357	1373
872	9366	1362
873	9378	1352
874	9391	1341
875	9402	1330
876	9414	1320
877	9427	1309
878	9440	1299
879	9449	1288
880	9463	1278
881	9477	1267
882	9490	1257
883	9504	1247
884	9528	1238
885	9537	1227
886	9541	1215
887	9548	1204
888	9559	1193
889	9571	1183
890	9578	1171
891	9587	1160
892	9592	1149
893	9596	1137
894	9601	1126
895	9606	1114
896	9615	1104
897	9622	1093
898	9627	1081
899	9634	1070
900	9642	1059
901	9653	1048
902	9663	1038
903	9669	1026
904	9676	1015
905	9683	1004
906	9691	993
907	9696	982
908	9701	971
909	9707	960
910	9714	949
911	9722	938
912	9734	927
913	9741	916
914	9749	905
915	9752	894
916	9758	883
917	9766	872
918	9769	861
919	9774	849
920	9780	838
921	9785	827
922	9790	816
923	9796	805
924	9800	794
925	9803	783
926	9811	772
927	9815	761
928	9818	750
929	9822	739
930	9825	728
931	9829	717
932	9832	706
933	9835	695
934	9841	684
935	9846	673
936	9852	662
937	9858	651
938	9861	640
939	9866	629
940	9873	619
941	9876	608
942	9880	597
943	9885	586
944	9890	575
945	9896	564
946	9903	554
947	9918	544
948	9930	533
949	9940	523
950	9947	512
951	9955	501
952	9959	491
953	9963	480
954	9969	469
955	9973	459
956	9981	448
957	9987	437
958	9991	427
959	9997	416
960	10002	405
961	10008	395
962	10016	384
963	10019	374
964	10023	363
965	10029	352
966	10035	342
967	10041	331
968	10054	321
969	10061	311
970	10072	300
971	10085	290
972	10098	280
973	10108	269
974	10133	259
975	10140	249
976	10146	238
977	10153	228
978	10158	217
979	10163	207
980	10170	196
981	10182	186
982	10192	176
983	10202	165
984	10206	155
985	10211	144
986	10215	134
987	10220	124
988	10227	113
989	10235	103
990	10242	93
991	10248	82
992	10260	72
993	10286	62
994	10297	51
995	10310	41
996	10320	31
997	10332	20
998	10345	10
999	10351	0
