size_category,records_processed_category,profile,use_exclusive_locks,copy_mode,ignore_exit_errors,status,parallel_number,lock_source_client,ignore_table_errors,use_table_segmenter,records_processed_bin,size_in_bytes_bin,LassoCV Regularization0,runtime_in_seconds
1,0,1,0,0,0,1,0.2,1,0,0,1,1,1733.5266405371106,955.0
1,0,1,1,0,0,1,0.2,1,0,0,1,1,1950.1404861819503,311.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,2035.0196815605548,1353.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1981.0321847963332,3914.0
0,3,0,1,0,0,0,0.2,0,0,0,0,1,784.1225520558206,1586.0
0,0,0,1,0,0,0,0.2,0,0,0,0,1,1147.544621134638,881.0
1,1,1,1,0,0,1,0.2,1,0,0,1,1,1724.1790375391463,800.0
1,1,0,1,0,0,1,0.2,0,0,0,1,1,2339.95409120921,1656.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,2035.0196815605548,1229.0
0,0,0,0,0,0,1,0.2,0,0,0,1,1,1950.6106409459148,3710.0
1,1,0,1,0,0,1,1.0,0,0,0,1,1,2611.964502225466,3706.0
2,1,1,1,0,0,0,0.2,0,0,0,1,1,2004.584592849919,2258.0
1,0,1,0,0,0,0,0.2,0,0,0,1,1,1548.5282977578659,1486.0
1,1,0,1,0,0,1,0.2,0,0,0,1,1,2232.3290759756987,1341.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1981.0321847963332,1281.0
0,3,0,1,0,0,0,0.2,0,0,0,0,0,436.9162627335313,1642.0
1,0,1,1,0,0,0,0.2,1,0,0,1,1,1664.6678390118932,2196.0
1,0,0,1,0,0,0,0.2,0,0,0,1,1,1934.1694014845916,1514.0
0,0,0,0,0,0,1,0.2,0,0,0,1,1,1914.108106845197,3728.0
3,3,3,0,1,1,0,0.23333333333333334,1,0,0,0,0,452.35272788961487,163.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1981.0321847963332,1607.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1953.53936461508,1786.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1953.53936461508,2559.0
0,0,0,0,0,0,1,0.2,0,0,0,1,1,2038.276063817758,427.0
1,0,1,0,0,0,0,0.2,0,0,0,1,1,1631.7869519453914,1277.0
2,1,1,1,0,0,1,0.6666666666666666,0,0,0,1,1,2183.336491972419,1494.0
0,0,0,0,0,0,0,0.2,0,0,0,0,0,396.8053961298141,629.0
1,0,1,1,0,1,1,0.23333333333333334,0,1,0,1,1,2622.068024824692,3995.0
0,0,0,1,0,0,0,0.2,0,0,0,1,1,1907.2461536365452,1108.0
0,0,0,1,0,0,0,0.2,0,0,0,0,1,1148.7817758992342,1119.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1981.0321847963332,1198.0
0,3,0,1,0,0,0,0.2,0,0,0,0,1,1195.1714748876893,1360.0
2,0,3,0,2,1,0,0.23333333333333334,0,0,0,1,1,1331.074526222006,91.0
0,0,0,0,0,0,0,0.2,0,0,0,1,1,1639.44436861912,1223.0
0,0,0,0,0,0,0,0.2,0,0,0,1,1,1699.313749766549,1107.0
0,0,0,1,0,1,0,0.23333333333333334,1,0,0,0,1,1122.9225063960753,826.0
0,3,0,0,0,0,0,0.2,0,0,0,0,0,475.34574604653517,1131.0
2,1,0,1,0,0,0,0.2,0,0,0,1,1,2121.28282385879,1171.0
0,3,0,1,0,0,0,1.0,0,0,0,0,1,1199.8307585681273,1393.0
1,1,0,1,0,0,0,0.2,0,0,0,1,1,1953.53936461508,3554.0
