profile,ignore_exit_errors,status,copy_mode,use_table_segmenter,use_exclusive_locks,ignore_table_errors,lock_source_client,size_in_bytes_bin,parallel_number_bin,runtime_in_seconds
1,1,0,0,0,0,0,1,3,3,1459
1,0,0,0,0,1,0,1,3,3,2319
1,1,0,0,0,0,0,1,3,3,2659
1,1,0,0,0,1,0,1,3,3,1648
1,1,1,0,0,0,0,1,0,3,195
3,1,0,2,0,0,0,0,0,0,131
3,1,0,3,0,0,0,0,3,3,3129
3,1,0,3,0,0,0,0,0,3,25
7,1,0,6,0,0,0,0,3,3,124
1,0,0,0,0,0,1,1,2,3,1257
1,1,1,0,1,1,0,1,3,3,3618
1,1,1,0,0,1,0,1,3,1,1913
7,1,0,6,0,1,0,0,0,3,167
1,1,0,0,1,1,0,1,2,0,1173
1,1,0,0,0,1,0,1,3,3,2098
1,1,1,0,0,0,0,0,0,3,2071
3,1,0,2,0,0,0,0,2,3,17
1,0,0,5,0,0,0,0,0,0,3046
4,0,0,0,0,0,1,1,0,3,611
3,1,1,0,1,1,0,1,3,3,1474
1,1,0,0,0,0,0,0,3,3,1523
1,1,0,0,1,1,0,1,3,0,2593
3,1,0,2,0,0,0,0,3,3,462
1,1,1,0,0,0,0,1,0,3,55
1,1,0,0,0,0,0,1,2,3,1279
4,1,0,0,0,0,0,1,0,3,478
8,0,0,0,0,1,1,0,0,3,1025
3,1,0,3,0,0,0,0,0,3,40
1,1,0,0,1,1,0,1,3,3,1836
8,1,0,0,0,1,0,1,0,3,361
4,1,0,0,0,0,0,1,0,3,491
1,1,1,0,1,1,0,1,2,3,911
1,1,0,0,0,0,0,0,3,3,2160
1,1,0,0,1,1,0,1,3,3,2086
7,0,0,6,0,0,1,0,2,3,135
3,1,1,3,0,0,0,0,0,3,23
6,1,0,0,1,1,0,0,3,3,763
1,0,0,0,0,0,1,0,2,3,1334
4,0,0,0,0,1,1,0,0,3,477
1,1,0,0,1,1,0,1,2,0,1341
7,0,0,6,0,0,1,0,2,3,70
1,1,0,0,0,0,0,0,3,3,791
3,1,1,3,0,0,0,0,0,3,24
1,0,1,5,0,0,0,0,0,0,42
1,1,0,0,0,0,0,0,1,3,628
1,0,0,0,0,1,1,1,3,3,2109
3,1,0,0,1,1,0,1,2,3,930
7,1,0,6,0,1,0,0,3,3,370
3,1,0,3,0,0,0,0,0,3,25
1,1,1,0,0,0,0,0,0,3,1890
3,1,0,3,0,0,0,0,0,3,785
4,1,1,5,0,0,0,0,0,0,15
1,1,0,0,1,1,0,1,3,3,2246
1,0,1,5,0,0,0,0,0,0,52
1,1,0,0,1,1,0,1,3,2,1856
3,1,0,3,0,0,0,0,0,3,88
0,1,0,0,0,1,0,1,3,3,1525
1,0,0,4,0,0,1,0,0,3,530
3,1,0,2,0,0,0,0,2,3,22
1,0,0,4,0,0,1,0,0,3,809
1,1,0,0,0,0,0,0,3,3,2050
1,1,1,0,0,0,0,1,3,3,321
1,1,0,0,0,1,0,1,3,3,1695
1,1,0,0,0,0,0,1,3,3,2060
3,1,0,3,0,0,0,0,3,3,3037
1,0,0,0,0,0,1,0,2,3,842
6,0,0,0,0,0,1,1,2,3,1048
8,1,0,0,0,1,0,1,0,3,550
7,0,0,6,0,0,1,0,0,3,57
4,1,0,0,0,0,0,0,0,3,505
4,1,0,0,0,0,0,1,0,3,465
7,0,0,6,0,0,1,0,1,3,79
4,0,0,0,0,0,1,1,0,3,408
3,0,0,0,0,0,1,1,3,3,1086
